Datenbestand;Aktenzeichen/Registernummer;Markendarstellung;Aktenzustand
DE;"3020120541127";VisuStage;Marke eingetragen 
DE;"3020120541135";ConfigStage;Marke eingetragen 
DE;"3020120541143";RemoteStage;Marke eingetragen 
DE;"3020120541674";Mill-IT;Marke eingetragen 
DE;"3020120541682";CAMFLOW;Marke eingetragen 
DE;"3020120541690";ZAHNOMAT;Marke eingetragen 
DE;"3020120542611";amlogic;Marke eingetragen 
DE;"3020120543219";PhilaStore;Marke eingetragen 
DE;"3020120543715";FuBotherm;Marke eingetragen 
DE;"3020120543723";EWR Internett;Marke eingetragen 
DE;"3020120544053";ElektroMaßschneiderei;Marke eingetragen 
DE;"3020120544266";OpEx-Methode;Marke eingetragen 
DE;"3020120544320";setu;Marke eingetragen 
DE;"3020120544460";HATWAS;Marke eingetragen 
DE;"3020120544479";HATGAS;Marke eingetragen 
DE;"3020120544487";HATWATT;Marke eingetragen 
DE;"3020120544541";COILCULATOR;Marke eingetragen 
DE;"3020120545068";Gastronow;Marke eingetragen 
DE;"3020120545408";Luvantis;Marke eingetragen 
DE;"3020120546293";I/O LOGIX;Marke eingetragen 
DE;"3020120547311";Push;Marke eingetragen 
DE;"3020120547559";ARUMedia GmbH;Marke eingetragen 
DE;"3020120547567";Leadmanufaktur Media GmbH;Marke eingetragen 
DE;"3020120548466";premy;Marke eingetragen 
DE;"3020120567762";HighFact;Marke eingetragen 
DE;"3020120568114";Certificus;Marke eingetragen 
DE;"3020120568785";C.ERTI;Marke eingetragen 
DE;"3020120568882";Coaching BONUS;Akte vernichtet 
DE;"3020120569307";BIODOM;Marke eingetragen 
DE;"3020120569846";documentXpoint;Marke eingetragen 
DE;"3020120569854";LOOPIQUE;Akte vernichtet 
DE;"3020120570631";OurPlant;Marke eingetragen 
DE;"3020120571859";OWAconsult;Marke eingetragen 
DE;"3020120571867";OWAconsult soundvision;Marke eingetragen 
DE;"3020120587410";GOTTSCHALK;Marke eingetragen 
DE;"3020120589324";STOREMAN;Marke eingetragen 
DE;"3020120589863";Vodafone AllroundService;Marke eingetragen 
DE;"3020120590357";GARITH;Marke eingetragen 
DE;"3020120590802";Euro Digital;Marke eingetragen 
DE;"3020120590829";Montredo;Marke eingetragen 
DE;"3020120590977";t2 IT;Marke eingetragen 
DE;"3020120592678";Sign-Me;Marke eingetragen 
DE;"3020120594247";Homo retis;Marke eingetragen 
DE;"3020120594360";skidy;Akte vernichtet 
DE;"3020120594409";Raum für Revolutionen;Akte vernichtet 
DE;"3020120594581";i-weare men;Marke nicht eingetragen 
DE;"3020120596053";IT´s APP2You;Marke eingetragen 
DE;"3020120596126";Clinus;Marke eingetragen 
DE;"3020120597173";Chimaera;Marke eingetragen 
DE;"3020120597181";FusionSync;Marke eingetragen 
DE;"3020120598072";PEP2go;Marke eingetragen 
DE;"3020120601081";Cloud Share;Marke eingetragen 
DE;"3020120601677";SYNTAS Invest;Marke eingetragen 
DE;"3020120601685";SYNTAS;Marke eingetragen 
DE;"3020120602487";TrendArena;Marke eingetragen 
DE;"3020120603440";comdesk;Marke eingetragen 
DE;"3020120603815";Parkblop;Marke eingetragen 
DE;"3020120604994";Mediale Pfade;Marke eingetragen 
DE;"3020120605478";ACCOLO;Marke eingetragen 
DE;"3020120605494";EXXELLO;Marke eingetragen 
DE;"3020120605524";CALIDUS;Marke eingetragen 
DE;"3020120605532";CALLIDUS;Marke eingetragen 
DE;"3020120605559";Copa;Marke eingetragen 
DE;"3020120606008";Vodafone Redster;Marke eingetragen 
DE;"3020120607322";ployer;Marke eingetragen 
DE;"3020120608124";Mietestromgas;Marke eingetragen 
DE;"3020120610102";LIQUICONTROL;Marke eingetragen 
DE;"3020120611559";GENESIS;Marke eingetragen 
DE;"3020120615805";mapp2biz;Marke eingetragen 
DE;"3020120617697";wir können lokal;Marke eingetragen 
DE;"3020120621120";ISEPA;Marke eingetragen 
DE;"3020120621325";Couchgeflüster;Marke eingetragen 
DE;"3020120622127";lopri;Akte vernichtet 
DE;"3020120622763";CRABS;Marke eingetragen 
DE;"3020120622879";brightright;Marke eingetragen 
DE;"3020120623034";quirinius quinn;Marke eingetragen 
DE;"3020120626238";intunomics;Marke eingetragen 
DE;"3020120626289";Goodster;Marke eingetragen 
DE;"3020120626327";Samsung Smart Switch;Marke eingetragen 
DE;"3020120626408";meinAutomarkt.de;Akte vernichtet 
DE;"3020120627889";Engineeringoptimierer;Akte vernichtet 
DE;"3020120628699";jump classic;Marke eingetragen 
DE;"3020120629008";BAYOOMED;Marke eingetragen 
DE;"3020120629067";meexplace;Marke eingetragen 
DE;"3020120629105";IT-Dienstleistungszentrum Berlin (ITDZ Berlin);Akte vernichtet 
DE;"3020120629709";POWER NAP;Marke nicht eingetragen 
DE;"3020120630162";CidZ - Clever in die Zukunft;Marke eingetragen 
DE;"3020120630944";Memix;Marke eingetragen 
DE;"3020120631479";Productmate;Marke eingetragen 
DE;"3020120631762";planity;Marke eingetragen 
DE;"3020120631835";MEDIA MARKT MOBILE;Marke eingetragen 
DE;"3020120635067";KäferLive;Marke eingetragen 
DE;"3020120635202";artsatweb;Marke eingetragen 
DE;"3020120635229";BioMaster;Marke eingetragen 
DE;"3020120636187";Zero Distance;Marke eingetragen 
DE;"3020120636454";GeoVideoExplorer;Marke nicht eingetragen 
DE;"3020120636519";Monokoly;Akte vernichtet 
DE;"3020120637345";eWaCent;Marke eingetragen 
DE;"3020120638589";ADVOPEDIA;Marke eingetragen 
DE;"3020120638627";casaGeo;Marke eingetragen 
DE;"3020120639194";NFC21;Akte vernichtet 
DE;"3020120639208";OZ Verlag;Marke eingetragen 
DE;"3020120639720";GlucoXpert;Marke eingetragen 
DE;"3020120640192";mapp2goal;Marke eingetragen 
DE;"3020120640354";Memix;Akte vernichtet 
DE;"3020120640648";iSpooxx;Marke eingetragen 
DE;"3020120640826";DosMod;Marke eingetragen 
DE;"3020120640869";AutoAdapt;Akte vernichtet 
DE;"3020120642306";+X;Akte vernichtet 
DE;"3020120644015";CuQuiDo;Marke eingetragen 
DE;"3020120646646";TOCARIO;Marke eingetragen 
DE;"3020120651836";AIDA Freunde der Meere;Marke eingetragen 
DE;"3020120651844";AIDA friends of the oceans;Marke eingetragen 
DE;"3020120653634";papagei.com Videos sehen. Sprachen verstehen.;Marke eingetragen 
DE;"3020120653642";papagei.com Filme klicken. Sprachen blicken.;Marke eingetragen 
DE;"3020120653650";papagei.com Das Videosprachenlernportal.;Marke eingetragen 
DE;"3020120656846";infra-pro;Marke eingetragen 
DE;"3020130060245";Emma Panther;Marke eingetragen 
DE;"3020130060954";Captain OnPage;Marke eingetragen 
DE;"3020130061306";Locazon;Marke eingetragen 
DE;"3020130061411";CHOCOMPACT;Marke eingetragen 
DE;"3020130061454";AnyNode;Marke eingetragen 
DE;"3020130061551";CHOCFINER;Marke eingetragen 
DE;"3020130062027";quickLead;Akte vernichtet 
DE;"3020130063759";eins.de;Marke eingetragen 
DE;"3020130104579";CHY;Marke eingetragen 
DE;"3020130462351";Happy;Marke nicht eingetragen 
DE;"3020130462378";Rancho;Marke nicht eingetragen 
DE;"3020130464826";Effektum;Marke eingetragen 
DE;"3020130465024";allsafe home;Marke eingetragen 
DE;"3020130465199";FAXOMAT;Marke eingetragen 
DE;"3020130465393";welcome far away;Akte vernichtet 
DE;"3020130466225";Advait;Marke eingetragen 
DE;"3020130466330";TILE;Marke nicht eingetragen 
DE;"3020130467558";NeeLassMa;Marke eingetragen 
DE;"3020130467566";Du willst es? Wir haben es!;Marke nicht eingetragen 
DE;"3020130468023";United Interim;Marke eingetragen 
DE;"3020130468317";Lochschwager.de;Marke nicht eingetragen 
DE;"3020130468449";Z-QMS;Marke eingetragen 
DE;"3020130468457";Z-QMS-ECO;Marke eingetragen 
DE;"3020130469933";Bodymedia;Marke eingetragen 
DE;"3020130470095";b5 solutions;Marke eingetragen 
DE;"3020130470680";TRENDBAND- KONZEPT;Marke nicht eingetragen 
DE;"3020130470958";Trendomat;Marke nicht eingetragen 
DE;"3020130471326";M&M TopZahn;Marke eingetragen 
DE;"3020130472454";godiug;Marke eingetragen 
DE;"3020130473868";Rhythmus der Nacht;Marke eingetragen 
DE;"3020130473876";JUMP auf Tour;Marke eingetragen 
DE;"3020130474244";BEYOND THE OBVIOUS;Akte vernichtet 
DE;"3020130474333";Smartvero;Marke eingetragen 
DE;"3020130474562";mymb;Marke eingetragen 
DE;"3020130475143";FAIRIST;Marke eingetragen 
DE;"3020130475151";eyeem;Marke eingetragen 
DE;"3020130476204";pellor;Marke eingetragen 
DE;"3020130476328";FAIR IM VERKEHR;Akte vernichtet 
DE;"3020130477421";Swingbyte;Marke nicht eingetragen 
DE;"3020130477790";BIT Mosaik;Marke eingetragen 
DE;"3020130478843";Startup Germany;Marke nicht eingetragen 
DE;"3020130479637";appcuisine;Marke nicht eingetragen 
DE;"3020130479807";Lavreso;Marke eingetragen 
DE;"3020130480279";LessingvonKlenze;Marke eingetragen 
DE;"3020130480309";FAIN;Marke eingetragen 
DE;"3020130480872";Garooda;Marke eingetragen 
DE;"3020130480961";BIACORPUS;Marke eingetragen 
DE;"3020130481003";sixx Mädelsabend;Marke eingetragen, Widerspruchsverfahren läuft 
DE;"3020130482409";trendaudit24;Marke nicht eingetragen 
DE;"3020130482867";Condex;Marke eingetragen 
DE;"3020130483138";PreCASE;Marke eingetragen 
DE;"3020130483367";KapaMan;Marke eingetragen 
DE;"3020130484525";OrangeBox;Marke gelöscht 
DE;"3020130484681";lawinenkompass.de;Akte vernichtet 
DE;"3020130484703";Geotechnische Lawinenkunde;Akte vernichtet 
DE;"3020130484711";seidl;Marke eingetragen 
DE;"3020130486234";Krankenversicherungs-Betriebswirt (VWA);Marke eingetragen 
DE;"3020130486242";conneXionlab;Marke eingetragen 
DE;"3020130486374";QRPlan;Marke eingetragen 
DE;"3020130487281";Frieda - das verrückte Huhn;Marke eingetragen 
DE;"3020130487494";T-Finity;Marke gelöscht 
DE;"3020130490061";slidebutler;Marke eingetragen 
DE;"3020130491297";inreti;Marke eingetragen 
DE;"3020130491521";Kanzler;Marke eingetragen 
DE;"3020130492307";SquadMail;Marke eingetragen 
DE;"3020130492315";Bench Tec;Marke nicht eingetragen 
DE;"3020130492838";PEET;Marke eingetragen 
DE;"3020130493273";addcard;Marke eingetragen 
DE;"3020130493338";bAV24+;Marke nicht eingetragen 
DE;"3020130493567";AIM&TOUCH;Marke nicht eingetragen 
DE;"3020130498941";BTGA;Marke eingetragen 
DE;"3020130499301";MyPeople;Marke eingetragen 
DE;"3020130499697";LOOPBOX;Marke gelöscht 
DE;"3020130502353";PRINTERBOT;Marke nicht eingetragen 
DE;"3020130508548";COBAS F;Marke eingetragen 
DE;"3020130508564";COBAS D;Marke eingetragen 
DE;"3020130510135";Evenfo;Marke eingetragen 
DE;"3020130515005";Atlantik Verlag;Marke eingetragen 
DE;"3020130518276";Paper Plane Studio;Akte vernichtet 
DE;"3020140065304";FUTURA;Marke eingetragen 
DE;"3020140065398";Herbalista;Marke eingetragen 
DE;"3020140067757";Me & Company;Marke eingetragen 
DE;"3020140067889";KURSWECHSEL;Marke eingetragen 
DE;"3020140068281";VDF;Marke eingetragen 
DE;"3020140068303";VDF Boehringer;Marke eingetragen 
DE;"3020140068311";Boehringer;Marke eingetragen 
DE;"3020140068354";TENTO;Marke eingetragen 
DE;"3020140068419";SMARTILIGY;Marke eingetragen 
DE;"3020140069016";Marquis;Marke eingetragen 
DE;"3020140069083";docunord;Marke eingetragen 
DE;"3020140069210";McNotar;Marke nicht eingetragen 
DE;"3020140069563";Echt zufairlässig;Marke eingetragen 
DE;"3020140069768";Redbad;Marke eingetragen 
DE;"3020140069784";DeutschlandLAN Swyx;Marke eingetragen 
DE;"3020140069849";Das graue Dreieck;Marke eingetragen 
DE;"3020140069989";orcafin;Marke eingetragen 
DE;"3020140070537";MasterQ;Marke eingetragen 
DE;"3020140395622";Juser;Marke eingetragen 
DE;"3020140404680";Applight;Marke nicht eingetragen 
DE;"3020140404729";Akanoo;Marke eingetragen 
DE;"3020140405482";Projektfaktur;Marke eingetragen 
DE;"3020140405512";itk-cloud;Marke nicht eingetragen 
DE;"3020140405598";virtualQ;Marke eingetragen 
DE;"3020140405644";petify;Marke nicht eingetragen 
DE;"3020140405695";petify;Marke nicht eingetragen 
DE;"3020140405806";Insurance Flat;Marke nicht eingetragen 
DE;"3020140406039";Baadingoo;Marke eingetragen 
DE;"3020140406888";iSiDent;Marke eingetragen 
DE;"3020140406942";iSiLohn;Marke eingetragen 
DE;"3020140406969";iSiFibu;Marke eingetragen 
DE;"3020140407000";isiZeit;Marke eingetragen 
DE;"3020140407043";fit4all;Marke nicht eingetragen 
DE;"3020140408198";Ergolotse;Marke nicht eingetragen 
DE;"3020140408376";3 %;Marke nicht eingetragen 
DE;"3020140408724";h. a. l. m.;Marke gelöscht 
DE;"3020140409046";pothe;Marke nicht eingetragen 
DE;"3020140409062";GreenRibbon;Marke eingetragen 
DE;"3020140409151";Discreteer;Marke nicht eingetragen 
DE;"3020140409747";agilefinder;Marke eingetragen 
DE;"3020140409771";succest;Marke nicht eingetragen 
DE;"3020140409798";feindt succest suite;Marke nicht eingetragen 
DE;"3020140409933";findwhatyoulike;Marke nicht eingetragen 
DE;"3020140410737";DataTravel;Marke eingetragen 
DE;"3020140411520";ebapp;Marke nicht eingetragen 
DE;"3020140411563";LUXLIVING;Marke eingetragen 
DE;"3020140411571";Urban Playground;Marke eingetragen 
DE;"3020140412349";woyb;Marke eingetragen 
DE;"3020140550318";TaskStore;Marke nicht eingetragen 
DE;"3020140550407";ARCO Consulting;Marke gelöscht 
DE;"3020140550415";IOXP;Marke eingetragen 
DE;"3020140550687";Rabbitized;Marke eingetragen 
DE;"3020140551020";Software Innovation Bridge;Marke eingetragen 
DE;"3020140551969";proficonn-PN;Marke eingetragen 
DE;"3020140552353";Basslet;Marke eingetragen 
DE;"3020140552779";Wildlife Park;Marke nicht eingetragen 
DE;"3020140553414";Flashlines;Marke eingetragen 
DE;"3020140553848";EasyKID;Marke nicht eingetragen 
DE;"3020140553910";IP-IT;Marke nicht eingetragen 
DE;"3020140553996";BEACONplaces;Marke eingetragen 
DE;"3020140554453";smart-informations;Marke nicht eingetragen 
DE;"3020140554569";digischule;Marke nicht eingetragen 
DE;"3020140554690";comruen;Marke nicht eingetragen 
DE;"3020140555107";cloudplan;Marke nicht eingetragen 
DE;"3020140555832";SPC Partners;Marke nicht eingetragen 
DE;"3020140556340";bonnea;Marke eingetragen 
DE;"3020140556383";Enigo;Marke eingetragen 
DE;"3020140556480";Pitch Navigator;Marke eingetragen 
DE;"3020140556510";HotelStar;Marke nicht eingetragen 
DE;"3020140556820";Communitypress;Marke nicht eingetragen 
DE;"3020140557010";brands in good hands;Marke nicht eingetragen 
DE;"3020140557029";navilution;Marke eingetragen 
DE;"3020140557150";Selfiewall;Marke eingetragen 
DE;"3020140557568";Creative Lab;Marke nicht eingetragen 
DE;"3020140557673";Cert'n Key;Marke nicht eingetragen 
DE;"3020140557789";reThinkLegal;Marke nicht eingetragen 
DE;"3020140557835";LegalReviewlution Real Estate;Marke nicht eingetragen 
DE;"3020140558084";Hallenbeck.de;Marke eingetragen 
DE;"3020140558874";Shoplatein;Marke eingetragen 
DE;"3020140559315";QS-Technik;Marke nicht eingetragen 
DE;"3020140559889";Bringwerk;Marke eingetragen 
DE;"3020140560119";Gregorio Design;Marke nicht eingetragen 
DE;"3020140560658";trinnovative;Marke eingetragen 
DE;"3020140560879";Kontextlab;Marke eingetragen 
DE;"3020140601451";BIG BANG EMPIRE;Marke eingetragen 
DE;"3020140602792";artbox44;Marke eingetragen 
DE;"3020140603209";Moineau;Marke eingetragen 
DE;"3020140610655";gVRT;Marke nicht eingetragen 
DE;"3020140610663";Braingo Island;Marke nicht eingetragen 
DE;"3020140610973";Rolling On Interroll;Marke eingetragen 
DE;"3020140612445";Legal Connect;Marke eingetragen 
DE;"3020140612569";ATS CARDIO DANCE;Marke eingetragen 
DE;"3020140612577";MORNING AFTER;Marke eingetragen 
DE;"3020140612585";THE BEAST;Marke eingetragen 
DE;"3020140612852";IN-Campus;Marke eingetragen 
DE;"3020140613174";Pergamon;Marke nicht eingetragen 
DE;"3020140613190";addigo;Marke eingetragen 
DE;"3020140613352";Tube Stars;Marke nicht eingetragen 
DE;"3020140613794";IHK GIS;Marke eingetragen 
DE;"3020140614626";SECOPIO;Marke eingetragen 
DE;"3020140614766";Multi-Touch-Table;Marke nicht eingetragen 
DE;"3020140615126";top.domain;Marke nicht eingetragen 
DE;"3020140615134";www.top.domain;Marke nicht eingetragen 
DE;"3020140615142";www.top.game;Marke nicht eingetragen 
DE;"3020140615150";top.game;Marke nicht eingetragen 
DE;"3020140615169";porno.app;Marke nicht eingetragen 
DE;"3020140615177";www.porno.app;Marke nicht eingetragen 
DE;"3020140615355";CyberPump;Marke eingetragen 
DE;"3020140615363";cloud services. anders. besser.;Marke nicht eingetragen 
DE;"3020140615622";Greendawn;Marke eingetragen 
DE;"3020140615630";SQR Service Quality in Realtime;Marke eingetragen 
DE;"3020140616181";Bombenidee;Marke eingetragen 
DE;"3020140616254";Crazy Kings;Marke eingetragen 
DE;"3020140616300";Barbara;Marke eingetragen 
DE;"3020140616424";DRIVON;Marke nicht eingetragen 
DE;"3020140616432";DYNAVATE;Marke nicht eingetragen 
DE;"3020140616580";PureLoX;Marke eingetragen 
DE;"3020140616696";SMARTSONAR;Marke eingetragen 
DE;"3020140616718";Mobility Insights;Marke nicht eingetragen 
DE;"3020140616971";DYNAVATE;Marke eingetragen 
DE;"3020140616998";DRIVON;Marke eingetragen 
DE;"3020140617641";playmory;Marke nicht eingetragen 
DE;"3020140617803";Ein-Seiten-Expose;Marke nicht eingetragen 
DE;"3020140618001";TraumKlang;Marke nicht eingetragen 
DE;"3020140618044";Learness;Marke eingetragen 
DE;"3020140618303";Stadtgeist;Marke eingetragen 
DE;"3020140618443";Alphary;Marke eingetragen 
DE;"3020140618567";Audantis;Marke nicht eingetragen 
DE;"3020140618575";Audeant;Marke nicht eingetragen 
DE;"3020140618591";Aurandis;Marke nicht eingetragen 
DE;"3020140618605";Aurantos;Marke nicht eingetragen 
DE;"3020140618613";Aurenyo;Marke nicht eingetragen 
DE;"3020140618621";Aurileo;Marke nicht eingetragen 
DE;"3020140618648";Audeala;Marke nicht eingetragen 
